Time (s),Target Distance (m),Distance Error (m),Altitude (m),Airspeed Command (m/s),Actual Airspeed (m/s),Distance (m)
126.83270072937012,45.0,-1.4781572871113866,19.931,14.521842712888613,13.417805671691895,43.52184271288861
127.03369545936584,45.0,1.7215241227891624,19.931,17.721524122789162,13.417805671691895,46.72152412278916
127.23507881164551,45.0,1.4710610065727465,19.644,17.471061006572747,13.483588218688965,46.47106100657275
127.43652248382568,45.0,1.253803551954789,19.344,17.25380355195479,13.442764282226562,46.25380355195479
127.63814330101013,45.0,0.8034747466186118,19.042,16.803474746618612,14.133318901062012,45.80347474661861
127.83944606781006,45.0,4.003119416192156,19.042,20.0,14.133318901062012,49.003119416192156
128.04070782661438,45.0,3.175412650270083,18.781,19.175412650270083,15.04870319366455,48.17541265027008
128.24169945716858,45.0,2.0147694913620526,18.626,18.014769491362053,16.51689910888672,47.01476949136205
128.4426805973053,45.0,0.5876281543391997,18.633,16.5876281543392,17.40903663635254,45.5876281543392
128.64400911331177,45.0,3.787311552620274,18.633,19.787311552620274,17.40903663635254,48.787311552620274
128.8452763557434,45.0,0.5385250952052303,18.823,16.53852509520523,18.536760330200195,45.53852509520523
129.04638576507568,45.0,-1.0990632019383781,19.175,14.900936798061622,18.830387115478516,43.90093679806162
129.2481153011322,45.0,-2.6253757139833453,19.63,14.0,18.741230010986328,42.374624286016655
129.44918870925903,45.0,-4.007220392894197,20.131,14.0,18.420217514038086,40.9927796071058
129.6502776145935,45.0,-0.8075817817492705,20.131,15.19241821825073,18.420217514038086,44.19241821825073
129.85239958763123,45.0,-1.8787887011079647,20.601,14.121211298892035,17.359960556030273,43.121211298892035
130.05356812477112,45.0,-2.672914064946646,20.993,14.0,16.520931243896484,42.327085935053354
130.25503253936768,45.0,-3.2121785260511118,21.274,14.0,15.291504859924316,41.78782147394889
130.45643424987793,45.0,-0.01258687170653161,21.274,15.987413128293468,15.291504859924316,44.98741312829347
130.65768194198608,45.0,-0.3413941607684947,21.428,15.658605839231505,14.526275634765625,44.658605839231505
130.8587462902069,45.0,-0.5038708415484976,21.451,15.496129158451502,13.597258567810059,44.4961291584515
131.06048703193665,45.0,-0.6440670998428146,21.349,15.355932900157185,13.286887168884277,44.355932900157185
131.26151490211487,45.0,0.9557787929531045,21.349,16.955778792953105,13.286887168884277,45.955778792953105
131.4629876613617,45.0,0.5606258274518794,21.153,16.56062582745188,13.816367149353027,45.56062582745188
131.66431546211243,45.0,0.15468646028421063,20.905,16.15468646028421,13.980145454406738,45.15468646028421
131.8657250404358,45.0,-0.33986547285976343,20.633,15.660134527140237,14.32583236694336,44.66013452714024
132.06734323501587,45.0,-1.1782974879043024,20.371,14.821702512095698,15.0822114944458,43.8217025120957
132.2689769268036,45.0,2.021357177655858,20.371,18.021357177655858,15.0822114944458,47.02135717765586
132.47047090530396,45.0,0.9608758977486573,20.172,16.960875897748657,16.129058837890625,45.96087589774866
132.6717712879181,45.0,0.01107541224113362,20.067,16.011075412241134,16.174890518188477,45.011075412241134
132.87353777885437,45.0,-0.9720546165441206,20.036,15.02794538345588,16.321008682250977,44.02794538345588
133.0745394229889,45.0,2.2276073444164126,20.036,18.227607344416413,16.321008682250977,47.22760734441641
133.27556443214417,45.0,1.0336206033664936,20.071,17.033620603366494,16.76752471923828,46.033620603366494
133.4767360687256,45.0,-0.027223151740805918,20.156,15.972776848259194,16.65951919555664,44.972776848259194
133.6784052848816,45.0,-1.0103455337320426,20.269,14.989654466267957,16.501848220825195,43.98965446626796
133.879492521286,45.0,2.1893540523322983,20.269,18.1893540523323,16.501848220825195,47.1893540523323
134.08066296577454,45.0,1.0065950901730858,20.409,17.006595090173086,16.917299270629883,46.006595090173086
134.2816767692566,45.0,-1.7093895666643633,20.562,14.290610433335637,16.889423370361328,43.29061043333564
134.48270416259766,45.0,-2.692337255363647,20.708,14.0,16.496267318725586,42.30766274463635
134.68408298492432,45.0,-3.8749597508247007,20.852,14.0,16.719371795654297,41.1250402491753
134.88560009002686,45.0,-0.6752640365544877,20.852,15.324735963445512,16.719371795654297,44.32473596344551
135.08671760559082,45.0,-1.8356962159034609,20.99,14.16430378409654,16.803606033325195,43.16430378409654
135.28803157806396,45.0,-2.7631521086427426,21.103,14.0,16.39766502380371,42.23684789135726
135.49005436897278,45.0,-3.4687401460570655,21.176,14.0,15.564407348632812,41.531259853942935
135.69137978553772,45.0,-0.26905630568788297,21.176,15.730943694312117,15.564407348632812,44.73094369431212
135.89245629310608,45.0,-0.7750052009721742,21.187,15.224994799027826,14.965187072753906,44.224994799027826
136.09414792060852,45.0,-1.103537332718254,21.117,14.896462667281746,14.124162673950195,43.896462667281746
136.29556608200073,45.0,-1.3876645407319401,20.963,14.61233545926806,13.819602966308594,43.61233545926806
136.49665641784668,45.0,-1.7937262056178795,20.741,14.20627379438212,13.94134521484375,43.20627379438212
136.69773817062378,45.0,1.405976832968662,20.741,17.405976832968662,13.94134521484375,46.40597683296866
136.89902877807617,45.0,1.0887712052635337,20.479,17.088771205263534,13.822029113769531,46.088771205263534
137.1002652645111,45.0,-0.728368028346857,20.188,15.271631971653143,13.525882720947266,44.27163197165314
137.3021261692047,45.0,-1.0677165486213411,19.87,14.932283451378659,13.691094398498535,43.93228345137866
137.5032548904419,45.0,2.1319574367905076,19.87,18.131957436790508,13.691094398498535,47.13195743679051
137.70429587364197,45.0,1.4153255565103748,19.552,17.415325556510375,14.859928131103516,46.415325556510375
137.90608835220337,45.0,0.5210581758698964,19.298,16.521058175869896,15.484700202941895,45.521058175869896
138.10746455192566,45.0,-0.4066398705673251,19.141,15.593360129432675,16.010896682739258,44.593360129432675
138.30863189697266,45.0,2.7930448613119125,19.141,18.793044861311913,16.010896682739258,47.79304486131191
138.50972723960876,45.0,1.5879520406203795,19.094,17.58795204062038,16.700759887695312,46.58795204062038
138.71120977401733,45.0,0.1722007502933991,19.168,16.1722007502934,17.717382431030273,45.1722007502934
138.9126284122467,45.0,-1.3764085782824154,19.371,14.623591421717585,18.25840950012207,43.623591421717585
139.11374521255493,45.0,-2.9357086201468334,19.689,14.0,18.556011199951172,42.06429137985317
139.31516480445862,45.0,0.2639372004143752,19.689,16.263937200414375,18.556011199951172,45.263937200414375
139.51664757728577,45.0,-1.0177975373829184,20.06,14.982202462617082,18.12590217590332,43.98220246261708
139.71768450737,45.0,-2.0221527768819243,20.42,14.0,17.060850143432617,42.977847223118076
139.9187366962433,45.0,-2.771810675648304,20.717,14.0,16.300521850585938,42.228189324351696
140.12025833129883,45.0,-1.1720590798380428,20.717,14.827940920161957,16.300521850585938,43.82794092016196
140.3219699859619,45.0,-1.689142997540884,20.919,14.310857002459116,15.170547485351562,43.310857002459116
