time,throttle,ax,ay,az
9.5367431640625e-07,0.4000000898816932,-0.01176798,0.0,-9.79684335
0.013434648513793945,0.40126744651696195,-0.029223817000000003,0.0,-9.79684335
0.0361328125,0.4034143710344037,-0.0900446603,0.0,-9.787036699999998
0.05713033676147461,0.4054063071869705,-0.18302935427,0.0,-9.77723005
0.07817697525024414,0.4074081920179052,-0.265734913843,0.0,-9.747810099999999
0.1004941463470459,0.40953630058083257,-0.3323245974587,0.0,-9.73800345
0.12258195877075195,0.41164755549716847,-0.38637132271283003,0.0,-9.7281968
0.14517521858215332,0.41381182623415796,-0.429129385441547,0.0,-9.7281968
0.16605877876281738,0.41581613669749434,-0.4617276518973923,0.0,-9.73800345
0.18777203559875488,0.4179035398771812,-0.4851821017076531,0.0,-9.73800345
0.21029114723205566,0.4200716766784272,-0.5004071165368877,0.0,-9.747810099999999
0.2301774024963379,0.42198869030126934,-0.5062643098831989,0.0,-9.757616749999999
0.2544257640838623,0.4243286823883759,-0.5066324588948791,0.0,-9.7674234
0.2777121067047119,0.42657783740800814,-0.5010798030053911,0.0,-9.77723005
0.29993772506713867,0.4287258268550197,-0.48921775770485204,0.0,-9.787036699999998
0.3221883773803711,0.4308769729421524,-0.47265792693436687,0.0,-9.79684335
0.35622119903564453,0.43416743212574854,-0.4548120842409302,0.0,-9.80665
0.3678293228149414,0.43528953932458575,-0.4309055058168372,0.0,-9.81645665
0.3885023593902588,0.4372872717318741,-0.3995829352351535,0.0,-9.826263299999999
0.4086291790008545,0.43923107729001926,-0.36746996171163815,0.0,-9.836069949999999
0.4308938980102539,0.441379546114745,-0.3346456255404744,0.0,-9.8458766
0.45455384254455566,0.4436599588496638,-0.29921973298642696,0.0,-9.85568325
0.47586917877197266,0.44571146639482384,-0.26341376968778424,0.0,-9.85568325
0.49661684036254883,0.4477051781820842,-0.2253044127190058,0.0,-9.865489899999998
0.516366720199585,0.4495996810043186,-0.18610266644710524,0.0,-9.87529655
0.5377974510192871,0.45165126194838257,-0.14493710480239472,0.0,-9.87529655
0.5614006519317627,0.45390519149435515,-0.10396543932215524,0.0,-9.8851032
0.5835251808166504,0.4560119511310431,-0.062187615389939714,0.0,-9.8851032
0.6049332618713379,0.45804441866516443,-0.016742253850945743,0.0,-9.89490985
0.6273994445800781,0.46017031995936397,0.029061896534148833,0.0,-9.9047165
0.6519341468811035,0.4624830066865534,0.07518895688073396,0.0,-9.9047165
0.6741998195648193,0.46457303989147647,0.12160663619266057,0.0,-9.914523149999999
0.695197343826294,0.4665358017232871,0.1682858725733945,0.0,-9.924329799999999
0.7179384231567383,0.468651897873516,0.2142198453160551,0.0,-9.93413645
0.7402091026306152,0.4707138589707233,0.25850241578444955,0.0,-9.93413645
0.7618210315704346,0.472704405783604,0.3042407192060046,0.0,-9.943943099999998
0.7849011421203613,0.4748181603277589,0.3503085172854042,0.0,-9.953749749999998
0.8068850040435791,0.47681931773390707,0.39569219555686375,0.0,-9.9635564
0.8285748958587646,0.47878141755243103,0.44144083100117737,0.0,-9.9635564
0.8492686748504639,0.4806414515084172,0.48653726290105964,0.0,-9.97336305
0.8697319030761719,0.4824687447044331,0.5320273766109537,0.0,-9.983169699999998
0.900094747543335,0.4851568888736862,0.5739491439498583,0.0,-9.99297635
0.9111816883087158,0.4861312740859367,0.6195240545548725,0.0,-10.002782999999999
0.9342279434204102,0.4881438886359557,0.6654447990993853,0.0,-10.022396299999999
0.9567043781280518,0.49008945755618644,0.7087347991894467,0.0,-10.032202949999999
0.9798548221588135,0.49207476920939036,0.7516184592705021,0.0,-10.0420096
1.0008070468902588,0.4938546516925044,0.7941364133434519,0.0,-10.05181625
1.0237736701965332,0.49578647811856136,0.8353445670091068,-0.00980665,-10.07142955
1.0465755462646484,0.4976838677276584,0.8734125703081961,-0.00980665,-10.0812362
1.0659470558166504,0.49927913491505405,0.9125770982773764,-0.00980665,-10.09104285
1.090254545211792,0.5012584636978885,0.9517478334496388,-0.00980665,-10.110656149999999
1.1193819046020508,0.5035961885184652,0.9909241551046749,-0.00980665,-10.120462799999999
1.1405282020568848,0.5052692360939683,1.0291248395942074,-0.00980665,-10.1400761
1.1631829738616943,0.5070383333841985,1.0674281156347867,-0.00980665,-10.14988275
1.187124490737915,0.5088809073301652,1.105823724071308,-0.00980665,-10.16949605
1.2138779163360596,0.5109059883339685,1.1423411016641773,-0.00980665,-10.179302700000001
1.2402114868164062,0.5128631843632661,1.1771680714977597,-0.00980665,-10.198915999999999
1.263103723526001,0.5145345831887671,1.212435004347984,-0.00980665,-10.2185293
1.2858853340148926,0.516169372708883,1.2471172389131857,-0.00980665,-10.228335949999998
1.3083696365356445,0.5177541722799671,1.2822539100218673,-0.00980665,-10.24794925
1.3290672302246094,0.5191872382900067,1.3158382440196805,-0.00980665,-10.26756255
1.3512747287750244,0.5206966760893619,1.3470448096177126,-0.00980665,-10.277369199999999
1.3717479705810547,0.5220618078187915,1.3770920486559413,-0.00980665,-10.2969825
1.3918838500976562,0.5233791635796916,1.4060958937903472,-0.0196133,-10.3165958
1.4133491516113281,0.5247552950700071,1.4341606844113124,-0.00980665,-10.3362091
1.4353787899017334,0.5261366998774615,1.4584383309701812,-0.00980665,-10.34601575
1.4675040245056152,0.5280936585631546,1.4793075478731632,-0.00980665,-10.365629049999999
1.4783434867858887,0.5287382482593086,1.503973833085847,-0.00980665,-10.3754357
1.5001788139343262,0.5300121718359438,1.5271541547772622,-0.00980665,-10.395048999999998
1.5216336250305176,0.5312314035944007,1.5470357792995362,-0.00980665,-10.40485565
