Time (s),Step Airspeed Command (m/s),Distance Error (m)
0.0,17.0,41.44240933607307
0.14400434494018555,17.0,44.64178033780542
0.2873871326446533,17.0,42.31434008185125
0.4306600093841553,17.0,41.50893970081827
0.5740077495574951,17.0,43.10861966131261
0.7174668312072754,17.0,40.548096641471034
0.8608722686767578,17.0,43.74746350237399
1.0042834281921387,17.0,41.35333153505036
1.147838830947876,17.0,44.552720081720565
1.291222333908081,17.0,42.214173818542854
1.4347422122955322,17.0,43.81386868800605
1.5786964893341064,17.0,42.84205352939018
1.7221884727478027,17.0,40.28179327099076
1.865664005279541,17.0,43.481155908173385
2.0092368125915527,17.0,41.13167091355855
2.153256416320801,17.0,44.33103713829153
2.2970027923583984,17.0,41.948406018826134
2.440412998199463,17.0,43.54807962477253
2.5838866233825684,17.0,42.698581465459
2.7272841930389404,17.0,40.42711226220625
2.87068247795105,17.0,43.62639371435375
3.0146398544311523,17.0,41.432594311246596
3.1580231189727783,17.0,43.032220608657454
3.301535129547119,17.0,42.21606030124837
3.4450225830078125,17.0,43.8156835313061
3.588538408279419,17.0,42.988276978777066
3.731955051422119,17.0,40.72768288787671
3.87518572807312,17.0,43.92689075129147
4.018628835678101,17.0,41.64410244619708
4.161974906921387,17.0,43.24370204472503
4.305386781692505,17.0,42.41615262305563
4.449429750442505,17.0,44.01576098690465
4.592970609664917,17.0,41.73265259525786
4.736418008804321,17.0,44.9318827862942
4.879817485809326,17.0,42.74875268762171
5.023194789886475,17.0,42.120558733299816
5.1666576862335205,17.0,43.720180965960424
5.31021785736084,17.0,43.225111552577225
5.453661680221558,17.0,44.82475551969252
5.597048997879028,17.0,42.763324227148
5.740635633468628,17.0,45.962638295697616
5.88466215133667,17.0,43.756842307740804
6.028035402297974,17.0,43.283706229385494
6.171384811401367,17.0,44.88339493836766
6.314695835113525,17.0,42.75499600731108
6.458129405975342,17.0,45.95442109297434
6.601466655731201,17.0,43.74838782585659
6.744691610336304,17.0,46.947863921970594
6.888077974319458,17.0,44.841700548218135
7.0316338539123535,17.0,44.190997711216816
7.174974203109741,17.0,45.79077223081427
7.318850755691528,17.0,43.507063054906254
7.462445974349976,17.0,46.70664784328076
7.605862617492676,17.0,44.52283534303949
7.74922513961792,17.0,47.72245459201749
7.893028259277344,17.0,45.3945221327565
8.036510705947876,17.0,46.99434245839668
8.179877996444702,17.0,46.32178773876691
8.32336163520813,17.0,44.10494210879671
8.466822147369385,17.0,47.30460638992981
8.610228776931763,17.0,44.93244740308049
8.754217386245728,17.0,46.53228403401515
8.897708177566528,17.0,45.84880481884699
9.041351556777954,17.0,47.448643369143234
9.184691429138184,17.0,46.798486907638775
9.328060865402222,17.0,44.42649305902949
9.471495151519775,17.0,47.626166691427464
9.614830732345581,17.0,45.376259306640385
9.758253812789917,17.0,46.97609338589716
9.901687145233154,17.0,46.27060472802762
10.045108079910278,21.0,47.87043494401898
10.189043283462524,21.0,47.076204613219865
10.332415580749512,21.0,44.82653244147134
10.47584342956543,21.0,46.426345682834416
10.61936640739441,21.0,45.65442962515976
10.76287317276001,21.0,47.2542353038481
10.906303882598877,21.0,46.21608226595924
11.049729108810425,21.0,47.815879406250026
11.193101167678833,21.0,46.51141143231954
11.336474657058716,21.0,48.11120151828349
11.479973077774048,21.0,44.98491591095313
11.623969793319702,21.0,43.26983181738648
11.76736569404602,21.0,44.86960633189428
11.910890102386475,21.0,42.98793224219836
12.05433964729309,21.0,44.58770896680293
12.197730779647827,21.0,41.03969540361971
12.341192960739136,21.0,44.239247192456126
12.484577894210815,21.0,40.669134185114885
12.628093481063843,21.0,38.66572742434616
12.771576404571533,21.0,40.26548314183684
12.915059566497803,21.0,38.40632023966587
13.058846473693848,21.0,40.006066523227744
13.20241641998291,21.0,36.60315045332318
13.345988988876343,21.0,39.802575893364335
13.489376783370972,21.0,36.53306623114432
13.632902145385742,21.0,34.8636535861303
13.776322841644287,21.0,36.46325126929929
13.919675588607788,21.0,33.22800939613984
14.06304407119751,21.0,36.427037801126566
14.206443071365356,21.0,33.36960334202818
14.349888801574707,21.0,36.568479528687334
14.493659019470215,21.0,33.555978032448685
14.637025833129883,21.0,36.754670245978
14.781034708023071,21.0,33.76422912200398
14.92448902130127,21.0,31.018454543585037
15.067977905273438,21.0,34.216582425003324
15.211367130279541,21.0,31.504035110116654
15.35495662689209,21.0,34.70201707726357
15.49834656715393,21.0,31.955774091163867
15.641690492630005,21.0,33.554675804018096
15.785054683685303,21.0,32.62896407537493
15.929126977920532,21.0,30.092941782571394
16.072611331939697,21.0,33.29042070283365
16.216172456741333,21.0,30.809455693842047
16.35965871810913,21.0,34.0069973971714
16.502995014190674,21.0,31.54712983363288
16.64645552635193,21.0,33.14593043513026
16.79001212120056,21.0,32.262368632422174
16.933453798294067,21.0,29.856625073238618
17.076890230178833,21.0,33.054396069894466
17.220273733139038,21.0,30.53708279874901
17.364226579666138,21.0,32.13608440970423
17.507670164108276,21.0,31.28409237787846
17.65123677253723,21.0,32.88325331365832
17.794740200042725,21.0,31.99768179967886
17.93818473815918,21.0,29.42396423095096
18.081565856933594,21.0,32.62275786302068
18.225010633468628,21.0,30.071409736806118
18.368486881256104,21.0,31.67092492707939
18.511882781982422,21.0,30.441703736336127
18.65537118911743,21.0,32.04134241569
18.799381256103516,21.0,30.923618025041144
18.94267773628235,21.0,32.5233456432732
19.08604860305786,21.0,29.7841306450693
19.229514598846436,21.0,28.423065836742943
19.372992277145386,21.0,30.022886557235903
19.516391277313232,21.0,28.751002410571918
19.65982151031494,21.0,30.350846478181705
19.8031804561615,21.0,27.5015719274261
19.946542501449585,21.0,30.70127587943826
20.089910984039307,21.0,27.619159951415902
