Time (s),Target Distance (m),Distance Error (m),Altitude (m),Airspeed Command (m/s),"Actual Airspeed (m/s), Horisontal Distance (m)"
0.0,68.21632048911712,0.0,20.125,16.0,14.918295860290527,68.21632048911712
0.20148992538452148,68.11557552642486,-0.3958889632420437,20.151,15.604111036757956,14.904648208618166,67.71968656318282
0.4026498794555664,68.01499554938934,-0.81966919974559,20.174,15.18033080025441,14.920958251953127,67.19532634964375
0.6041638851165771,67.91423854655883,-1.5163625169061987,20.216,14.483637483093801,15.054351020812991,66.39787602965264
0.8052675724029541,67.81368670291565,1.808485322324998,20.216,17.808485322324998,15.161065235900882,69.62217202524064
1.0067451000213623,67.71294793910644,0.8893377589169944,20.301,16.889337758916994,15.431052124633792,68.60228569802344
1.207885503768921,67.61237773723266,0.03551284227638973,20.415,16.03551284227639,15.658562021362307,67.64789057950905
1.408864974975586,67.51188800162933,-0.856227514773451,20.537,15.143772485226549,15.886514152612307,66.65566048685588
1.6100847721099854,67.41127810306213,-1.8403655680816797,20.667,14.15963443191832,16.109305926582035,65.57091253498045
1.8111636638641357,67.31073865718506,1.4839552926914905,20.667,17.48395529269149,16.287539345757818,68.79469394987655
2.0121641159057617,67.21023843116424,0.622119230733631,20.786,16.62211923073363,16.37258709489239,67.83235766189787
2.213197946548462,67.10972151584289,-0.020499388068003555,20.873,15.979500611931996,16.339799412242037,67.08922212777489
2.414431095123291,67.00910494155548,-0.4765876170128678,20.905,15.523412382987132,16.163119894783865,66.53251732454261
2.6157326698303223,66.90845415420196,2.8511819964928122,20.905,18.851181996492812,16.021776280817328,69.75963615069477
2.8169729709625244,66.80783400363586,2.310061114504151,20.87,18.31006111450415,15.910113209102105,69.11789511814001
3.0181524753570557,66.7072442514386,1.7454019543803554,20.781,17.745401954380355,15.836880583456,68.45264620581895
3.2191736698150635,66.60673365420959,1.1496875126560866,20.644,17.149687512656087,15.813811984770172,67.75642116686568
3.42014479637146,66.5062480909314,0.3987539610623969,20.487,16.398753961062397,15.897486660570046,66.90500205199379
3.621453046798706,66.40559396571777,3.7266254650560455,20.487,19.726625465056046,15.964426401209943,70.13221943077382
3.82253360748291,66.30505368537567,2.8903909416585236,20.328,18.890390941658524,16.078804304561704,69.19544462703419
4.023745775222778,66.20444760150573,2.055643725701401,20.189,18.0556437257014,16.180324022262646,68.26009132720714
4.225205183029175,66.10371789760254,1.2525328381346839,20.062,17.252532838134684,16.270286897253477,67.35625073573722
4.42657995223999,66.00303051299713,4.581378047470537,20.062,20.0,16.34225719724614,70.58440856046766
4.628103971481323,65.90226850337646,3.5987560789697426,19.951,19.598756078969743,16.492950197494178,69.5010245823462
4.829147577285767,65.80174670047424,2.630174059393795,19.863,18.630174059393795,16.619297596960187,68.43192075986804
5.030144929885864,65.70124802417419,1.7730366591454896,19.789,17.77303665914549,16.67778556597147,67.47428468331968
5.231150388717651,65.6007452947583,0.7326800996874567,19.725,16.732680099687457,16.78998655519417,66.33342539444575
5.432153701782227,65.50024363822601,4.055533113108623,19.725,20.0,16.87974734657233,69.55577675133463
5.633158206939697,65.39974138564727,3.0309619634870444,19.677,19.030961963487044,16.95570942205767,68.43070334913432
5.834224700927734,65.29920813865326,2.20022565030807,19.634,18.20022565030807,16.93314969096645,67.49943378896133
6.0355305671691895,65.19855520553253,1.5147389554663846,19.571,17.514738955466385,16.792963691982145,66.71329416099891
6.236993312835693,65.09782383269928,0.6717848230865684,19.477,16.67178482308657,16.720699078585717,65.76960865578585
6.438387155532837,64.9971269113507,4.001205248763426,19.477,20.0,16.662887387868576,68.99833216011413
6.63989520072937,64.89637288875244,3.136698911738492,19.363,19.136698911738492,16.62434639405951,68.03307180049093
6.840881586074829,64.79587969607971,2.465580717585624,19.233,18.465580717585624,16.522982898328664,67.26146041366533
7.041929483413696,64.69535574741028,1.876226999982734,19.079,17.876226999982734,16.37525353668051,66.57158274739301
7.243086814880371,64.59477708167694,5.201546951821442,19.079,20.0,16.25707004736199,69.79632403349838
7.444169759750366,64.49423560924194,4.3811790550419545,18.897,20.0,16.254585252367132,68.8754146642839
7.6454503536224365,64.3935953123059,3.4453851224536436,18.716,19.445385122453644,16.362134922474763,67.83898043475955
7.846511125564575,64.29306492633484,2.4218592701408,18.556,18.4218592701408,16.52345046117317,66.71492419647564
8.047653436660767,64.19249377078674,1.1356776459130913,18.445,17.13567764591309,16.8425003744317,65.32817141669983
8.248632669448853,64.0920041543927,4.458236553559956,18.445,20.0,17.097740305038524,68.55024070795265
8.44987940788269,63.99138078517578,3.099994742202881,18.403,19.09999474220288,17.359018812634336,67.09137552737866
8.651068449020386,63.89078626460693,2.0003276910766488,18.423,18.00032769107665,17.468094261533253,65.89111395568358
8.852472066879272,63.79008445567749,1.1232459032488862,18.462,17.123245903248886,17.457194067673868,64.91333035892637
9.053943872451782,63.68934855289123,4.4538833904268955,18.462,20.0,17.448473912586362,68.14323194331813
9.255150556564331,63.58874521083496,3.516304543684342,18.494,19.516304543684342,17.408526597110104,67.1050497545193
9.456519603729248,63.4880606872525,2.697144369507029,18.502,18.69714436950703,17.31469015891367,66.18520505675953
9.657617807388306,63.38751158542297,2.0250948885398543,18.472,18.025094888539854,17.131444204767654,65.41260647396282
9.858652353286743,63.28699431247375,1.3010378829297053,18.407,17.301037882929705,16.96929492069889,64.58803219540346
10.059774398803711,63.21632048911712,4.596161103920849,18.407,20.0,16.839575493443878,67.81248159303797
10.261085510253906,63.21632048911712,3.895715177655333,18.303,19.895715177655333,16.64796463975022,67.11203566677246
10.462411642074585,63.21632048911712,3.2873202600958535,18.154,19.287320260095854,16.434519706795292,66.50364074921298
10.66367220878601,63.21632048911712,2.5116947194239145,17.961,18.511694719423915,16.343245266779007,65.72801520854104
10.864745616912842,63.21632048911712,1.4087844596178059,17.751,17.408784459617806,16.424434470259143,64.62510494873493
11.0657799243927,63.21632048911712,4.631878211193822,17.751,20.0,16.48938583304325,67.84819870031095
11.267180681228638,63.21632048911712,3.254660991266391,17.571,19.25466099126639,16.778499022879913,66.47098148038351
11.468508958816528,63.21632048911712,1.8756659002649485,17.473,17.87566590026495,17.054959023601782,65.09198638938207
11.669673442840576,63.21632048911712,0.4069891654808515,17.452,16.40698916548085,17.367245264535725,63.623309654597975
11.870741605758667,63.21632048911712,3.630712926077095,17.452,19.630712926077095,17.61707425728288,66.84703341519422
12.072017431259155,63.21632048911712,1.9294346620108342,17.505,17.929434662010834,17.92713261139271,65.14575515112796
12.273055076599121,63.21632048911712,0.24400660227026094,17.628,16.24400660227026,18.20327682886026,63.460327091387384
12.474075078964233,63.21632048911712,-1.3353079961716432,17.801,14.664692003828357,18.40126549079817,61.88101249294548
12.67514419555664,63.21632048911712,-2.7659433653924097,17.995,14.0,18.43612507879576,60.450377123724714
12.876144409179688,63.21632048911712,0.45649179836112097,17.995,16.45649179836112,18.464012749193834,63.672812287478244
13.077162981033325,63.21632048911712,-0.6565965482117164,18.16,15.343403451788284,18.341428857802335,62.55972394090541
13.278389930725098,63.21632048911712,-1.524941911095425,18.267,14.475058088904575,18.01862953643718,61.6913785780217
13.479411602020264,63.21632048911712,-2.2061070069507096,18.293,14.0,17.622018039550138,61.010213482166414
13.680375099182129,63.21632048911712,-2.717774515224619,18.225,14.0,17.127408933898412,60.498545973892504
13.881634712219238,63.21632048911712,0.5089525073887415,18.225,16.50895250738874,16.731721649377032,63.725272996505865
14.082773923873901,63.21632048911712,0.12894386705794858,18.062,16.12894386705795,16.32484341447233,63.34526435617507
14.283887386322021,63.21632048911712,-0.19012274170130894,17.811,15.809877258298691,15.915421492136947,63.026197747415814
14.484885931015015,63.21632048911712,-0.6004966414142956,17.483,15.399503358585704,15.617769055586999,62.61582384770283
14.685957670211792,63.21632048911712,2.6228582450338678,17.483,18.622858245033868,15.379647106347042,65.83917873415099
14.887035608291626,63.21632048911712,2.1748417354737626,17.115,18.174841735473763,15.214338183734862,65.39116222459089
15.088151216506958,63.21632048911712,1.7517594902014508,16.733,17.75175949020145,15.086209965017677,64.96807997931857
15.289409637451172,63.21632048911712,1.0705655411335329,16.347,17.070565541133533,15.160498581145003,64.28688603025066
15.49043893814087,63.21632048911712,0.015372501145947126,15.998,16.015372501145947,15.408739441087878,63.23169299026307
15.691569566726685,63.21632048911712,3.2397393947055093,15.998,19.23973939470551,15.60733212904218,66.45605988382263
15.89260458946228,63.21632048911712,1.8012331122213112,15.751,17.80123311222131,16.061177364000343,65.01755360133843
16.09382939338684,63.21632048911712,0.2267386547979342,15.669,16.226738654797934,16.5823708462784,63.44305914391506
16.294965982437134,63.21632048911712,-1.5687404551780517,15.762,14.431259544821948,17.21140143776491,61.64758003393907
16.495999097824097,63.21632048911712,1.6541459493227393,15.762,17.65414594932274,17.714625910954116,64.87046643843986
16.697155237197876,63.21632048911712,-0.2434442248748283,16.018,15.756555775125172,18.198036635745716,62.972876264242295
16.89839792251587,63.21632048911712,-1.8822375513967202,16.379,14.11776244860328,18.47490803784462,61.3340829377204
17.099830389022827,63.21632048911712,-3.192929614183214,16.766,14.0,18.568987022927065,60.02339087493391
17.300992727279663,63.21632048911712,-4.275667841677048,17.126,14.0,18.404190167658058,58.940652647440075
17.502100467681885,63.21632048911712,-1.0514263099270238,17.126,14.948573690072976,18.272352683442854,62.1648941791901
17.703196048736572,63.21632048911712,-1.8481274407139878,17.403,14.151872559286012,17.99870070449354,61.368193048403135
17.904365062713623,63.21632048911712,-2.398907441160617,17.572,14.0,17.541283485347762,60.81741304795651
18.105459928512573,63.21632048911712,-2.741273090102993,17.621,14.0,17.02966108088075,60.47504739901413
18.306567192077637,63.21632048911712,-2.931232819763814,17.545,14.0,16.44082557490968,60.28508766935331
18.508186101913452,63.21632048911712,0.30112083987993543,17.545,16.301120839879935,15.969757170132823,63.51744132899706
18.70917272567749,63.21632048911712,0.23173813800433152,17.352,16.23173813800433,15.504537272971493,63.448058627121455
18.910150051116943,63.21632048911712,0.17513271705431777,17.051,16.175132717054318,15.053665295061766,63.39145320617144
