Time (s),Target Distance (m),Distance Error (m),Altitude (m),Airspeed Command (m/s),Actual Airspeed (m/s),Distance (m)
0.0,45.0,-1.5673329580918391,20.042,14.43266704190816,15.156933784484863,43.43266704190816
0.20101284980773926,45.0,-2.128738679139097,20.094,14.0,15.09990119934082,42.8712613208609
0.40231823921203613,45.0,1.070966346439441,20.094,17.07096634643944,15.09990119934082,46.07096634643944
0.6038351058959961,45.0,0.4651817670097955,20.142,16.465181767009796,15.153160095214844,45.465181767009796
0.8048133850097656,45.0,-0.07403446064518704,20.181,15.925965539354813,15.058038711547852,44.92596553935481
1.0059590339660645,45.0,-0.7685767690548317,20.221,15.231423230945168,16.28628921508789,44.23142323094517
1.2075726985931396,45.0,2.431128262978582,20.221,18.431128262978582,16.28628921508789,47.43112826297858
1.4090275764465332,45.0,-0.16282402210124758,20.295,15.837175977898752,17.146759033203125,44.83717597789875
1.6100220680236816,45.0,-1.1569237665863739,20.418,14.843076233413626,16.5576114654541,43.843076233413626
1.811063528060913,45.0,-2.1066445989300604,20.582,14.0,17.040790557861328,42.89335540106994
2.012481451034546,45.0,-3.2116915041683214,20.796,14.0,17.400999069213867,41.78830849583168
2.2140731811523438,45.0,-0.01198647213109183,20.796,15.988013527868908,17.400999069213867,44.98801352786891
2.415445327758789,45.0,-0.9838966926841053,21.031,15.016103307315895,16.417057037353516,44.016103307315895
2.616797924041748,45.0,-1.7228177409658159,21.251,14.277182259034184,15.562904357910156,43.277182259034184
2.8187339305877686,45.0,-2.2731285045685823,21.426,14.0,14.767316818237305,42.72687149543142
3.0200018882751465,45.0,-2.7568709202788853,21.538,14.0,14.9860258102417,42.243129079721115
3.221336841583252,45.0,0.4428341120450412,21.538,16.44283411204504,14.9860258102417,45.44283411204504
3.4227218627929688,45.0,-0.02981356325081208,21.589,15.970186436749188,14.439756393432617,44.97018643674919
3.6240499019622803,45.0,-0.3471351220569474,21.565,15.652864877943053,13.786602973937988,44.65286487794305
3.825918674468994,45.0,-0.5424147312945848,21.472,15.457585268705415,13.611811637878418,44.457585268705415
4.027034759521484,45.0,2.6572903014804226,21.472,18.657290301480423,13.611811637878418,47.65729030148042
4.228399038314819,45.0,2.317779334191954,21.32,18.317779334191954,14.830497741699219,47.317779334191954
4.429681062698364,45.0,1.767468692642396,21.146,17.767468692642396,15.283989906311035,46.767468692642396
4.630887746810913,45.0,0.984168931471757,20.98,16.984168931471757,16.664337158203125,45.98416893147176
4.832032918930054,45.0,-0.08759354507628103,20.879,15.912406454923719,17.18610191345215,44.91240645492372
5.0330188274383545,45.0,3.1121114848105407,20.879,19.11211148481054,17.18610191345215,48.11211148481054
5.234047889709473,45.0,2.0958226391493895,20.868,18.09582263914939,16.37993812561035,47.09582263914939
5.4354634284973145,45.0,1.3014282326030724,20.917,17.301428232603072,15.501631736755371,46.30142823260307
5.636590480804443,45.0,0.6623599364312369,20.981,16.662359936431237,15.411293029785156,45.66235993643124
5.837872266769409,45.0,-0.165318585799767,21.048,15.834681414200233,16.63600730895996,44.83468141420023
6.039407968521118,45.0,3.0343864440205053,21.048,19.034386444020505,16.63600730895996,48.034386444020505
6.240642309188843,45.0,1.9515293745177615,21.131,17.95152937451776,17.14312744140625,46.95152937451776
6.441939830780029,45.0,1.0018089789396072,21.236,17.001808978939607,16.52356719970703,46.00180897893961
6.643347501754761,45.0,0.040993887419624286,21.363,16.040993887419624,17.261676788330078,45.040993887419624
6.844627141952515,45.0,3.240698916977614,21.363,19.240698916977614,17.261676788330078,48.240698916977614
7.045908689498901,45.0,0.5025158142919537,21.521,16.502515814291954,17.361330032348633,45.502515814291954
7.247490167617798,45.0,-0.4915833856640006,21.685,15.508416614336,16.38669776916504,44.508416614336
7.448606967926025,45.0,-1.3303564773945524,21.834,14.669643522605448,16.323436737060547,43.66964352260545
7.64972186088562,45.0,-2.3022661855021482,21.97,14.0,16.87270736694336,42.69773381449785
7.850790023803711,45.0,0.8974388433522336,21.97,16.897438843352234,16.87270736694336,45.897438843352234
8.051920652389526,45.0,0.003192200862500272,22.08,16.0031922008625,16.054828643798828,45.0031922008625
8.253052234649658,45.0,-0.6691600200227938,22.149,15.330839979977206,15.214266777038574,44.330839979977206
8.454023599624634,45.0,-1.1639967010052032,22.163,14.836003298994797,14.76168155670166,43.8360032989948
8.655389308929443,45.0,2.035708327591557,22.163,18.035708327591557,14.76168155670166,47.03570832759156
8.856592893600464,45.0,1.5297769460869972,22.117,17.529776946086997,14.822519302368164,46.529776946087
9.057918787002563,45.0,1.1126033434283897,22.014,17.11260334342839,14.261693000793457,46.11260334342839
9.259280443191528,45.0,0.7176192009924094,21.853,16.71761920099241,14.905959129333496,45.71761920099241
9.460667848587036,45.0,0.011982929660319996,21.658,16.01198292966032,16.358661651611328,45.01198292966032
9.662120342254639,45.0,3.2116879553687525,21.658,19.211687955368753,16.358661651611328,48.21168795536875
9.863404035568237,45.0,2.30634675289123,21.474,18.30634675289123,16.328641891479492,47.30634675289123
10.064752578735352,45.0,1.5341422100274968,21.333,17.534142210027497,15.61196517944336,46.5341422100275
10.266011476516724,45.0,0.8174112870053492,21.225,16.81741128700535,16.024839401245117,45.81741128700535
10.467348337173462,45.0,-0.1766875950449105,21.146,15.82331240495509,17.275896072387695,44.82331240495509
10.668662786483765,45.0,3.023017429891013,21.146,19.023017429891013,17.275896072387695,48.02301742989101
10.869873285293579,45.0,1.8846872243351669,21.111,17.884687224335167,17.0418758392334,46.88468722433517
11.070924997329712,45.0,0.9127778322675866,21.122,16.912777832267587,16.17345428466797,45.91277783226759
11.273049354553223,45.0,0.051815657227209044,21.156,16.05181565722721,16.458404541015625,45.05181565722721
11.474294662475586,45.0,3.2515206840189776,21.156,19.251520684018978,16.458404541015625,48.25152068401898
11.675282001495361,45.0,2.2352324652723965,21.205,18.235232465272396,16.676607131958008,47.2352324652724
11.876182079315186,45.0,-0.23667689040672713,21.253,15.763323109593273,15.842731475830078,44.76332310959327
12.077449083328247,45.0,-0.9645023649738675,21.285,15.035497635026132,15.879042625427246,44.03549763502613
