Time (s),Airspeed Input (m/s),Distance Output (m),Altitude (m),Actual Airspeed (m/s)
0.0,12.0,46.192535808384164,20.247,14.757613182067871
0.20117926597595215,12.0,45.62029167474048,20.303,14.714118957519531
0.402416467666626,12.0,47.22003005177084,20.303,14.714118957519531
0.6039955615997314,12.0,46.70303925333277,20.359,14.640457153320312
0.8057904243469238,12.0,46.34125640219139,20.399,14.16403865814209
1.0072367191314697,12.0,46.1347896515988,20.402,13.715072631835938
1.2084274291992188,12.0,46.07224191462435,20.354,13.09597110748291
1.4098803997039795,12.0,49.271770845304516,20.354,13.09597110748291
1.6112096309661865,12.0,49.28685001537592,20.248,12.77916145324707
1.8127543926239014,12.0,49.35736858815737,20.086,12.413060188293457
2.0138282775878906,12.0,49.461169420120314,19.878,12.243291854858398
2.2152090072631836,12.0,52.66080499476524,19.878,12.243291854858398
2.4164302349090576,12.0,51.06503192135017,19.636,12.429713249206543
2.617427110671997,12.0,50.82507523513609,19.402,12.944414138793945
2.8184659481048584,12.0,50.46324025798018,19.216,13.601401329040527
3.019991874694824,12.0,53.66292767224127,19.216,13.601401329040527
3.2214372158050537,12.0,53.19025365776115,19.107,13.969460487365723
3.423322916030884,12.0,52.65106919805647,19.087,14.380546569824219
3.6249706745147705,12.0,52.078635552247334,19.146,14.555500030517578
3.8273873329162598,12.0,55.27832034006316,19.146,14.555500030517578
4.028505086898804,12.0,54.705962522350866,19.268,14.672255516052246
4.229730129241943,12.0,52.5671292745371,19.432,14.663092613220215
4.431490659713745,12.0,52.061407423950264,19.615,14.51922607421875
4.632964372634888,12.0,55.261059354227534,19.615,14.51922607421875
4.834420442581177,12.0,54.81076876939151,19.798,14.381912231445312
5.035429954528809,12.0,54.41596702277617,19.964,14.143041610717773
5.236825227737427,12.0,54.087620028835694,20.101,13.974589347839355
5.437925815582275,12.0,57.28725336571457,20.101,13.974589347839355
5.63918924331665,12.0,57.00328222557482,20.201,13.693002700805664
5.840618133544922,12.0,55.174908369081436,20.26,13.538151741027832
6.041962623596191,12.0,54.99066565735839,20.278,13.331925392150879
6.24345326423645,12.0,58.19030126379354,20.278,13.331925392150879
6.444878101348877,12.0,58.02819537771802,20.258,13.227914810180664
6.645923614501953,12.0,57.88828366597642,20.204,13.079904556274414
6.847200155258179,12.0,57.75947173240683,20.123,13.022819519042969
7.048740863800049,12.0,60.95913078279631,20.123,13.022819519042969
7.249905586242676,12.0,60.83037456321443,20.023,12.99497127532959
7.45108437538147,12.0,59.09069249497297,19.911,12.990690231323242
7.652437210083008,12.0,58.95084294542696,19.795,13.038321495056152
7.8538806438446045,12.0,62.150511039974305,19.795,13.038321495056152
8.054938793182373,12.0,61.98851757886638,19.683,13.079972267150879
8.256262063980103,12.0,61.815429547815086,19.579,13.137910842895508
8.457464218139648,12.0,61.63129050715919,19.487,13.189663887023926
8.659166097640991,12.0,64.83095951712289,19.487,13.189663887023926
8.860824823379517,12.0,64.63572508125199,19.412,13.254837989807129
9.062120199203491,12.0,64.41834856493479,19.353,13.285224914550781
9.26339602470398,12.0,62.60114906843434,19.31,13.319452285766602
9.464423418045044,12.0,65.80080776918244,19.31,13.319452285766602
