Time (s),Pitch Command (deg),Throttle Command,Lateral Offset (m),Altitude (m),Airspeed (m/s)
0.0,0.0,0.5,-0.31809014422099713,20.096,14.371706008911133
0.011311769485473633,0.0,0.5,-0.31809014422099713,20.096,14.371706008911133
0.021800994873046875,0.0,0.5,-0.31809014422099713,20.096,14.371706008911133
0.03231930732727051,0.0,0.5,-0.31809014422099713,20.096,14.371706008911133
0.04283022880554199,0.0,0.5,-0.31809014422099713,20.096,14.371706008911133
0.05330681800842285,0.0,0.5,-0.31809014422099713,20.096,14.371706008911133
0.0637662410736084,0.0,0.5,-0.31809014422099713,20.096,14.371706008911133
0.07426166534423828,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.08497405052185059,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.09557867050170898,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.10620999336242676,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.11689615249633789,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.1273655891418457,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.1378345489501953,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.14852666854858398,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.15903663635253906,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.1696336269378662,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.1803889274597168,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.19094562530517578,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.201521635055542,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.21202874183654785,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.2225050926208496,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.23298263549804688,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.24370121955871582,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.25426244735717773,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.26488637924194336,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.2754244804382324,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.28597378730773926,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.29645872116088867,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.30716633796691895,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.3176705837249756,0.0,0.5,-0.35444330378194355,20.077,14.374874114990234
0.3282034397125244,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.33872485160827637,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.34939098358154297,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.359860897064209,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.370408296585083,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.38103723526000977,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.3915684223175049,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.4020538330078125,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.41252994537353516,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.42297840118408203,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.4335494041442871,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.4441361427307129,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.45467638969421387,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.4652421474456787,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.47580671310424805,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.4863753318786621,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.49689388275146484,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.507368803024292,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.5180692672729492,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.5287349224090576,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.5394039154052734,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.5499904155731201,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.5605878829956055,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.5711245536804199,0.0,0.5,-0.3998847525873652,20.064,14.591726303100586
0.581791877746582,0.0,0.5,-0.4453262013927865,20.072,14.804194450378418
0.5923037528991699,0.0,0.5,-0.4453262013927865,20.072,14.804194450378418
0.6030073165893555,0.0,0.5,-0.4453262013927865,20.072,14.804194450378418
0.6135945320129395,0.0,0.5,-0.4453262013927865,20.072,14.804194450378418
0.6241397857666016,0.0,0.5,-0.4453262013927865,20.072,14.804194450378418
0.6346595287322998,0.0,0.5,-0.4453262013927865,20.072,14.804194450378418
0.6452124118804932,0.0,0.5,-0.4453262013927865,20.072,14.804194450378418
0.6556785106658936,0.0,0.5,-0.4453262013927865,20.072,14.804194450378418
0.6661648750305176,0.0,0.5,-0.4453262013927865,20.072,14.804194450378418
0.676713228225708,0.0,0.5,-0.4453262013927865,20.072,14.804194450378418
0.6872715950012207,0.0,0.5,-0.4453262013927865,20.072,14.804194450378418
0.697845458984375,0.0,0.5,-0.4453262013927865,20.072,14.804194450378418
0.7083721160888672,0.0,0.5,-0.4453262013927865,20.072,14.804194450378418
0.718890905380249,0.0,0.5,-0.4453262013927865,20.072,14.804194450378418
0.729423999786377,0.0,0.5,-0.4453262013927865,20.072,14.804194450378418
